SCANNO,QUESTION,Subject,Chapter,Topic,Sub Topic,ANSWER,Difficulty Level,Question Type,Ans Behavior Tag 1,Ans Behavior Tag 2,Ans Behavior Tag 3,Ans Behavior Tag 4,SOL LINK
86,Q086,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
87,Q087,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
88,Q088,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
89,Q089,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
90,Q090,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
91,Q091,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
92,Q092,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
93,Q093,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
94,Q094,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
95,Q095,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
96,Q096,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
97,Q097,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
98,Q098,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
99,Q099,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
100,Q100,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
101,Q101,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
102,Q102,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
103,Q103,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
104,Q104,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
105,Q105,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
106,Q106,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
107,Q107,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
108,Q108,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
109,Q109,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
110,Q110,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
111,Q111,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
112,Q112,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
113,Q113,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
114,Q114,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
115,Q115,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
116,Q116,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
117,Q117,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
118,Q118,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
119,Q119,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
120,Q120,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
121,Q121,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
122,Q122,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
123,Q123,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
124,Q124,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
125,Q125,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
126,Q126,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
127,Q127,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
128,Q128,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
129,Q129,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
130,Q130,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
131,Q131,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
132,Q132,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
133,Q133,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
134,Q134,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
135,Q135,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
136,Q136,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
137,Q137,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
138,Q138,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
139,Q139,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
140,Q140,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
141,Q141,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
142,Q142,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
143,Q143,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
144,Q144,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
145,Q145,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
146,Q146,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
147,Q147,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
148,Q148,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
149,Q149,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
150,Q150,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
151,Q151,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
152,Q152,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
153,Q153,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
154,Q154,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
155,Q155,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
156,Q156,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
157,Q157,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
158,Q158,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
159,Q159,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
160,Q160,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
161,Q161,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
162,Q162,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
163,Q163,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
164,Q164,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
165,Q165,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
166,Q166,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
167,Q167,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
168,Q168,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
169,Q169,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
170,Q170,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
171,Q171,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
172,Q172,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
173,Q173,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
174,Q174,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
175,Q175,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
176,Q176,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
177,Q177,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
178,Q178,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
179,Q179,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
180,Q180,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
181,Q181,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
182,Q182,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
183,Q183,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
184,Q184,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
185,Q185,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
186,Q186,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
187,Q187,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
188,Q188,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
189,Q189,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
190,Q190,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
191,Q191,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
192,Q192,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
193,Q193,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
194,Q194,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
195,Q195,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
196,Q196,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
197,Q197,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
198,Q198,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
199,Q199,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
200,Q200,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
